event,i,id,name,status,mother1,mother2,px,py,pz,E,m,pT,eta,phi,charge,isFinal
0,0,90,system,11,0,0,0,0,0,14000,14000,0,inf,0,0,0
0,1,13,mu-,4,0,0,0,0,6999.999999,7000,0.10566,0,55.59851447,0,-1,0
0,2,-13,mu+,4,0,0,0,0,-6999.999999,7000,0.10566,0,-55.59851447,0,1,0
0,3,13,mu-,21,7,0,0,0,6996.563853,6996.563853,0,0,55.59802347,0,-1,0
0,4,-13,mu+,21,8,8,0,0,-6999.935325,6999.935325,0,0,-55.59850523,0,1,0
0,5,-24,W-,22,3,4,2966.028553,-3052.924571,-5556.105328,6999.599754,80.10295762,4256.486087,-1.081694686,-0.7998342256,-1,0
0,6,24,W+,22,3,4,-2966.028553,3052.924571,5552.733856,6996.899425,77.93893659,4256.486087,1.081212896,2.341758428,1,0
0,7,13,mu-,41,12,12,0,0,6999.999717,6999.999717,0,0,55.59851443,0,-1,0
0,8,-13,mu+,42,13,0,2.220446049e-16,-2.775557562e-17,-6999.935325,6999.935325,0,2.237726046e-16,-45.58270467,-0.1243549945,1,0
0,9,-24,W-,44,5,5,2966.309472,-3052.954625,-5556.065252,6999.700093,80.10295762,4256.703399,-1.081648433,-0.7997918114,-1,0
0,10,24,W+,44,6,6,-2963.586257,3052.663282,5554.054954,6996.799092,77.93893659,4254.597116,1.081754054,2.3413895,1,0
0,11,22,gamma,43,7,0,-2.723215302,0.291342477,2.074689151,3.435857549,0,2.738755561,0.6991601956,3.035013308,0,0
0,12,13,mu-,42,1,0,8.260406248e-13,-7.487448161e-13,6999.999717,6999.999717,0,1.114882018e-12,37.0690851,-0.736354133,-1,0
0,13,-13,mu+,41,2,0,-8.260510331e-13,7.48751755e-13,-6999.999389,6999.999389,0,1.11489439e-12,-37.06907395,2.405240179,1,0
0,14,-24,W-,44,9,9,2966.281286,-3052.929076,-5556.134157,6999.731699,80.10295762,4256.665433,-1.081665358,-0.799792378,-1,0
0,15,24,W+,44,10,10,-2963.589496,3052.666218,5554.011809,6996.767496,77.93893659,4254.601478,1.081747073,2.341389565,1,0
0,16,22,gamma,1,11,11,-2.723218358,0.2913452468,2.074668353,3.435847647,0,2.738758894,0.6991534075,3.035012421,0,1
0,17,22,gamma,1,13,0,0.0314288003,-0.02848774692,0.04800792849,0.06406311272,0,0.04241840653,0.9715505823,-0.7363517004,0,1
0,18,-24,W-,51,14,0,2966.281286,-3052.929076,-5556.134157,6999.731699,80.10295762,4256.665433,-1.081665358,-0.799792378,-1,0
0,19,22,gamma,1,14,0,1.564345907e-08,-1.491618597e-08,-2.689727763e-08,3.45061438e-08,0,2.161505067e-08,-1.044075695,-0.7616041745,0,1
0,20,24,W+,52,15,15,-2963.589496,3052.666218,5554.011809,6996.767496,77.93893659,4254.601478,1.081747073,2.341389565,1,0
0,21,22,gamma,1,1,0,0,0,0.0002829384171,0.0002829384171,0,0,38.57456775,0,0,1
0,22,22,gamma,1,2,0,0,0,-0.0006114285084,0.0006114285084,0,0,-39.34513652,0,0,1
0,23,11,e-,23,18,0,1575.392882,-1566.743688,-2919.764624,3669.001769,0.000511,2221.834494,-1.087032934,-0.7826455231,-1,0
0,24,-12,nu_ebar,23,18,0,1390.888404,-1486.185387,-2636.369532,3330.72993,0,2035.514077,-1.075512553,-0.8185089428,0,0
0,25,11,e-,51,23,0,1575.393366,-1566.744278,-2919.765614,3669.003016,0.000511,2221.835253,-1.087032932,-0.7826455579,-1,0
0,26,22,gamma,51,23,0,0.0004117898845,-0.0003668027179,-0.000707743482,0.000897226827,0,0.0005514663569,-1.068279702,-0.7276822248,0,0
0,27,-12,nu_ebar,1,24,24,1390.887508,-1486.18443,-2636.367835,3330.727786,0,2035.512766,-1.075512553,-0.8185089428,0,1
0,28,11,e-,1,25,0,1575.391464,-1566.742387,-2919.76209,3668.998588,0.000511,2221.832571,-1.087032932,-0.7826455578,-1,1
0,29,22,gamma,1,25,0,0.002236616786,-0.002224498972,-0.004145215909,0.005208998489,0,0.003154496841,-1.086997976,-0.7826818509,0,1
0,30,22,gamma,1,26,26,0.000411788566,-0.0003668015904,-0.0007077412772,0.0008972240218,0,0.0005514646225,-1.068279726,-0.7276822884,0,1
0,31,-11,e+,23,20,0,-1445.938798,1440.360894,2633.185309,3331.522683,0.000511,2040.925896,1.072456525,2.358127033,1,0
0,32,12,nu_e,23,20,0,-1517.650698,1612.305324,2920.8265,3665.244813,0,2214.224943,1.090054583,2.325962185,0,0
0,33,-11,e+,1,31,0,-1432.987305,1427.459313,2609.599656,3301.681855,0.000511,2022.644978,1.072456596,2.35812705,1,1
0,34,22,gamma,1,31,0,-12.95149377,12.90158157,23.58565399,29.84082895,0,18.28091896,1.072448722,2.358125098,0,1
0,35,12,nu_e,1,32,32,-1517.650697,1612.305323,2920.826499,3665.244812,0,2214.224942,1.090054583,2.325962185,0,1
1,0,90,system,11,0,0,0,0,0,14000,14000,0,inf,0,0,0
1,1,13,mu-,4,0,0,0,0,6999.999999,7000,0.10566,0,55.59851447,0,-1,0
1,2,-13,mu+,4,0,0,0,0,-6999.999999,7000,0.10566,0,-55.59851447,0,1,0
1,3,13,mu-,21,7,0,0,0,6999.902144,6999.902144,0,0,55.59850049,0,-1,0
1,4,-13,mu+,21,8,8,0,0,-6999.999998,6999.999998,0,0,-55.59851447,0,1,0
1,5,-24,W-,22,3,4,1657.327708,426.4776619,395.4548758,12241.64628,12114.98662,1711.320638,0.2290730198,0.251864098,-1,0
1,6,24,W+,22,3,4,-1657.327708,-426.4776619,-395.5527302,1758.255862,79.8960958,1711.320638,-0.229128732,-2.889728556,1,0
1,7,13,mu-,41,1,0,3.469446952e-18,0,6999.999755,6999.999755,0,3.469446952e-18,49.74934905,0,-1,0
1,8,-13,mu+,42,2,0,-1.040834086e-17,-1.040834086e-17,-6999.999998,6999.999998,0,1.47196168e-17,-48.3041632,-2.35619449,1,0
1,9,-24,W-,44,5,5,1657.299485,426.4394706,395.6171124,12241.64637,12114.98662,1711.283789,0.2291702368,0.2518465947,-1,0
1,10,24,W+,44,6,6,-1657.330751,-426.4817802,-395.5351352,1758.255771,79.8960958,1711.324612,-0.2291181916,-2.889726668,1,0
1,11,22,gamma,1,7,0,0.03126558317,0.04230964824,-0.08222070945,0.09761090148,0,0.05260839311,-1.229145246,0.9343915294,0,1
1,12,22,gamma,1,1,0,0,0,0.000245191135,0.000245191135,0,0,38.43137653,0,0,1
1,13,22,gamma,1,2,0,0,0,-1.634538421e-06,1.634538421e-06,0,0,-33.42069894,0,0,1
1,14,15,tau-,1,9,0,6900.545395,-379.7192778,565.3749346,6934.07279,1.77682,6910.984987,0.08171717806,-0.05497198921,-1,1
1,15,-16,nu_taubar,1,9,0,-5243.24591,806.1587484,-169.7578223,5307.573581,0,5304.858113,-0.03199498633,2.989035452,0,1
1,16,-11,e+,1,10,0,-950.5393765,-285.3117644,-230.3133468,1018.809181,0.000511,992.4353426,-0.2300347415,-2.849991137,1,1
1,17,12,nu_e,1,10,0,-706.7913745,-141.1700158,-165.2217884,739.4465902,0,720.7517051,-0.2272737418,-2.94445322,0,1
2,0,90,system,11,0,0,0,0,0,14000,14000,0,inf,0,0,0
2,1,13,mu-,4,0,0,0,0,6999.999999,7000,0.10566,0,55.59851447,0,-1,0
2,2,-13,mu+,4,0,0,0,0,-6999.999999,7000,0.10566,0,-55.59851447,0,1,0
2,3,13,mu-,21,7,0,0,0,6966.736688,6966.736688,0,0,55.59375124,0,-1,0
2,4,-13,mu+,21,8,8,0,0,-6988.791383,6988.791383,0,0,-55.59691195,0,1,0
2,5,-24,W-,22,3,4,1334.574512,891.4929078,1381.909463,11821.70518,11630.44242,1604.945087,0.7796204755,0.5889236275,-1,0
2,6,24,W+,22,3,4,-1334.574512,-891.4929078,-1403.964158,2133.822894,78.96867165,1604.945087,-0.7899985981,-2.552669026,1,0
2,7,13,mu-,41,12,12,0,-1.776356839e-15,6999.999997,6999.999997,0,1.776356839e-15,43.51102446,-1.570796327,-1,0
